acc_num,acc_password,acc_balance,acc_type,credit_card_num,credit_card_pin,credit_card_limit,vault,vault_num,vault_password,vault_balance
1001,X8xqojPV6T,7041333.0,non_credit_card,n/a,n/a,n/a,yes,V001,F3oG9nOkJA,57708.27
1002,Jbm3ls9pJA,64016.0,non_credit_card,n/a,n/a,n/a,no,n/a,n/a,n/a
1003,5cy9BkoADL,6210439.0,credit_card,82397316,9322,5000000.0,no,n/a,n/a,n/a
1004,Tp0pOPF1Ho,8809485.0,non_credit_card,n/a,n/a,n/a,no,n/a,n/a,n/a
1005,oRyIouJEgM,651560.0,non_credit_card,n/a,n/a,n/a,no,n/a,n/a,n/a
1006,Bt5Pl3PaGm,6125964.0,credit_card,12562484,3700,2000000.0,no,n/a,n/a,n/a
1007,oLZxwtxHWb,2961823.0,non_credit_card,n/a,n/a,n/a,no,n/a,n/a,n/a
1008,nvp6NAOf0T,8351115.0,non_credit_card,n/a,n/a,n/a,yes,V002,A2V4qSYqp5,399864.68
1009,nug2MpBBbU,1312522.0,credit_card,61047765,8398,500000.0,no,n/a,n/a,n/a
1010,4ymKrUuKRc,1412814.0,credit_card,26369900,1533,500000.0,no,n/a,n/a,n/a
1011,aA6rZYQ9Rg,3109275.0,non_credit_card,n/a,n/a,n/a,yes,V003,UxfqGp9jqh,56703.83
1012,UZpy3Ln9Vt,7524125.0,credit_card,48427423,5828,1000000.0,yes,V004,MLeIWJuWyX,270024.17
1013,afCfm5WshT,5219423.0,credit_card,28319150,3465,500000.0,no,n/a,n/a,n/a
1014,B7DMniRRIP,3894674.0,non_credit_card,n/a,n/a,n/a,yes,V005,0YMLS7LIT0,244896.7
1015,HbLvhcH7IZ,2912256.0,credit_card,85184056,3202,500000.0,yes,V006,DAHxKZxgmW,146144.44
1016,iqgayKKL89,4642774.0,credit_card,62224088,8423,5000000.0,yes,V007,GhsUf7bEDe,3493.2
1017,2oFcCX5IhN,5970581.0,non_credit_card,n/a,n/a,n/a,no,n/a,n/a,n/a
1018,WHcanTamGC,62399.0,non_credit_card,n/a,n/a,n/a,no,n/a,n/a,n/a
1019,ncn9A384Ir,359630.0,non_credit_card,n/a,n/a,n/a,no,n/a,n/a,n/a
